video_id,title,publish_time,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled
XpVt6Z1Gjjo,WE WANT TO TALK ABOUT OUR MARRIAGE,2017-11-13T17:13:01Z,748374,57527,2966,15954,False,False
K4wEI5zhHB0,The Trump Presidency: Last Week Tonight with John Oliver,2017-11-13T07:30:00Z,2418783,97185,6146,12703,False,False
